step,train_loss,validation_loss,validation_mae,validation_explained_variance
200,5.842150688171387,4.4621663093566895,1.6048657894134521,0.6034642457962036
400,0.6979678273200989,0.4293120801448822,0.4596838355064392,0.9618462324142456
600,0.16510434448719025,0.13768240809440613,0.2815823554992676,0.9879038333892822
800,0.13009853661060333,0.12057901173830032,0.2677608132362366,0.9893205761909485
1000,0.11244534701108932,0.11339396238327026,0.25945624709129333,0.9899502396583557
1200,0.09955964982509613,0.10404981672763824,0.24834555387496948,0.9907792210578918
1400,0.08619479835033417,0.09227827936410904,0.23231768608093262,0.9918236136436462
1600,0.07184045761823654,0.08005502820014954,0.21523943543434143,0.9929012060165405
1800,0.06138324737548828,0.0691024512052536,0.20011191070079803,0.9938687086105347
2000,0.05051669478416443,0.05808060243725777,0.18398088216781616,0.9948464035987854
2200,0.042630914598703384,0.04883870482444763,0.16891805827617645,0.9956719875335693
2400,0.03562222793698311,0.04149841144680977,0.15542897582054138,0.9963257908821106
2600,0.030173614621162415,0.03557480871677399,0.14465463161468506,0.9968452453613281
2800,0.02592930570244789,0.03170118108391762,0.13633930683135986,0.9971915483474731
3000,0.022249773144721985,0.028607163578271866,0.12933477759361267,0.9974688291549683
3200,0.02020319551229477,0.026061151176691055,0.12334985285997391,0.9976962208747864
3400,0.018608491867780685,0.02360239252448082,0.11894367635250092,0.9979095458984375
3600,0.016683733090758324,0.021452398970723152,0.11352697759866714,0.9980970621109009
3800,0.015648486092686653,0.019871613010764122,0.1096918135881424,0.9982450008392334
4000,0.014376006089150906,0.01844462938606739,0.10521236807107925,0.9983665943145752
4200,0.013392257504165173,0.01764463633298874,0.10332302749156952,0.9984339475631714
4400,0.01258394680917263,0.016877517104148865,0.10043279826641083,0.9985049366950989
4600,0.012237496674060822,0.016013095155358315,0.09790170937776566,0.9985771775245667
4800,0.011762763373553753,0.01597643829882145,0.0979069322347641,0.9985822439193726
5000,0.011279645375907421,0.015669001266360283,0.09741713106632233,0.9986087679862976
5200,0.011100751347839832,0.015047587454319,0.09616577625274658,0.9986650347709656
5400,0.010689396411180496,0.014689729548990726,0.09512735903263092,0.9986957907676697
5600,0.010474507696926594,0.014859388582408428,0.09589283168315887,0.9986832737922668
5800,0.010261531919240952,0.014818631112575531,0.09581230580806732,0.9986916780471802
6000,0.009920557960867882,0.013921444304287434,0.0925075113773346,0.9987631440162659
6200,0.00981432106345892,0.014091726392507553,0.09341663122177124,0.9987500905990601
6400,0.009589562192559242,0.013752622529864311,0.09300141036510468,0.9987825155258179
6600,0.009563163854181767,0.013327246531844139,0.09134139120578766,0.9988175630569458
6800,0.009308235719799995,0.013324127532541752,0.09156288206577301,0.9988168478012085
7000,0.009208135306835175,0.01330934464931488,0.09192822873592377,0.9988213777542114
7200,0.009362327866256237,0.012924950569868088,0.09035850316286087,0.9988520741462708
7400,0.009225391782820225,0.012915699742734432,0.0902184396982193,0.9988547563552856
7600,0.00921100378036499,0.012931684032082558,0.09073381125926971,0.9988507628440857
7800,0.00901175756007433,0.012786507606506348,0.09031610935926437,0.9988647103309631
8000,0.009193414822220802,0.013223221525549889,0.09179797023534775,0.998824954032898
8200,0.009137787856161594,0.012680974788963795,0.08996355533599854,0.9988730549812317
8400,0.009062939323484898,0.01283971220254898,0.09107143431901932,0.9988604784011841
8600,0.009199352003633976,0.012459700927138329,0.08942851424217224,0.9988954663276672
8800,0.008876866661012173,0.012448561377823353,0.089888796210289,0.9988940358161926
9000,0.008939346298575401,0.0129353366792202,0.09084749221801758,0.998850405216217
9200,0.008893121965229511,0.012608064338564873,0.0902162492275238,0.9988794922828674
9400,0.008849047124385834,0.012415949255228043,0.08976544439792633,0.9988968968391418
9600,0.008785446174442768,0.012499288655817509,0.09046626836061478,0.9988934993743896
9800,0.008949849754571915,0.01222252193838358,0.08879095315933228,0.9989169836044312
10000,0.008760292083024979,0.012544930912554264,0.09012940526008606,0.9988937973976135
10200,0.008607780560851097,0.012279575690627098,0.08893195539712906,0.9989089965820312
10400,0.008743412792682648,0.012121807783842087,0.08906412124633789,0.9989252090454102
10600,0.008683443069458008,0.012099228799343109,0.08936405181884766,0.9989264011383057
10800,0.008704242296516895,0.0122483866289258,0.08947992324829102,0.9989128708839417
11000,0.008751925081014633,0.012303773313760757,0.08977605402469635,0.9989103078842163
11200,0.008791470900177956,0.01214149221777916,0.08894312381744385,0.9989209771156311
11400,0.008718089200556278,0.01207839883863926,0.08836200088262558,0.998929500579834
11600,0.00872200820595026,0.012038741260766983,0.08874891698360443,0.9989343881607056
11800,0.008837364614009857,0.01245417632162571,0.09039832651615143,0.9988945722579956
12000,0.008726418018341064,0.012249910272657871,0.08924633264541626,0.9989123940467834
12200,0.008782551623880863,0.01210445910692215,0.0890117660164833,0.9989243745803833
12400,0.008686279878020287,0.012116716243326664,0.08905095607042313,0.9989232420921326
12600,0.008721639402210712,0.012055757455527782,0.08884966373443604,0.9989287257194519
12800,0.00866627972573042,0.011951099149882793,0.08803173899650574,0.998950183391571
13000,0.008664487861096859,0.01220899447798729,0.08921109139919281,0.9989153146743774
13200,0.008700594305992126,0.012141971848905087,0.08885622024536133,0.9989209771156311
13400,0.008742169477045536,0.011915033683180809,0.08816180378198624,0.9989420771598816
13600,0.008642574772238731,0.011944035068154335,0.08860594779253006,0.9989392757415771
13800,0.008558225817978382,0.01213899627327919,0.088312067091465,0.9989213347434998
14000,0.008722157217562199,0.012000275775790215,0.08827003836631775,0.9989336133003235
14200,0.008577249944210052,0.011860106140375137,0.08759386837482452,0.9989504218101501
14400,0.008647195994853973,0.011806372553110123,0.08743827044963837,0.9989517331123352
14600,0.008562829345464706,0.011937623843550682,0.08784153312444687,0.998939573764801
14800,0.00873544905334711,0.0119243199005723,0.08821098506450653,0.9989422559738159
15000,0.008439361117780209,0.012308899313211441,0.08936421573162079,0.998906672000885
15200,0.008641909807920456,0.011946038343012333,0.08811125159263611,0.9989383220672607
15400,0.00844948086887598,0.01182916946709156,0.08785784989595413,0.9989497065544128
15600,0.008578960783779621,0.011966208927333355,0.08833649754524231,0.9989365935325623
15800,0.008547297678887844,0.011821689084172249,0.08761117607355118,0.9989494681358337
16000,0.008679650723934174,0.011819886974990368,0.08774501830339432,0.9989495277404785
16200,0.008615350350737572,0.011988373473286629,0.08828312903642654,0.9989345669746399
16400,0.00867216195911169,0.012136774137616158,0.08861702680587769,0.9989234805107117
16600,0.008507653139531612,0.011943916790187359,0.08825715631246567,0.9989386200904846
16800,0.008646375499665737,0.012141280807554722,0.08899430930614471,0.9989219307899475
17000,0.008545564487576485,0.011729204095900059,0.0878000259399414,0.9989597797393799
17200,0.008552509360015392,0.011858690530061722,0.08788187801837921,0.9989461302757263
17400,0.00862396601587534,0.011808293871581554,0.08789726346731186,0.9989519715309143
17600,0.008579776622354984,0.011830482631921768,0.08769425749778748,0.9989522695541382
17800,0.008538808673620224,0.011801989749073982,0.08775708079338074,0.9989511966705322
18000,0.008568785153329372,0.011905821040272713,0.08821172267198563,0.9989418983459473
18200,0.00864485464990139,0.011812408454716206,0.08774451911449432,0.9989525079727173
18400,0.008514557033777237,0.011882713064551353,0.0880262702703476,0.9989441633224487
18600,0.0085276635363698,0.011749130673706532,0.08776342123746872,0.998959481716156
18800,0.008560582995414734,0.011836773715913296,0.08789810538291931,0.9989480376243591
19000,0.008390546776354313,0.012011890299618244,0.08857347071170807,0.9989333152770996
19200,0.008628154173493385,0.011773123405873775,0.08786609023809433,0.9989537596702576
19400,0.00854719802737236,0.012081919237971306,0.08889421820640564,0.9989266395568848
19600,0.008582484908401966,0.011862024664878845,0.08803089708089828,0.9989460706710815
19800,0.008569637313485146,0.01189015805721283,0.08811643719673157,0.9989449977874756
20000,0.008518380112946033,0.011900671757757664,0.08815471827983856,0.9989423751831055
20200,0.008498354814946651,0.011829709634184837,0.0878954827785492,0.9989514350891113
20400,0.00850438978523016,0.011938491836190224,0.08812358975410461,0.998939037322998
20600,0.008352572098374367,0.011747170239686966,0.08776429295539856,0.998956561088562
20800,0.008495328016579151,0.011949995532631874,0.08820411562919617,0.9989379644393921
21000,0.008457127958536148,0.01176265999674797,0.0876956582069397,0.9989546537399292
21200,0.00845612958073616,0.011836625635623932,0.08787120878696442,0.9989480376243591
21400,0.00851975753903389,0.011778853833675385,0.0877910703420639,0.9989538788795471
21600,0.008528295904397964,0.011906434781849384,0.08818467706441879,0.998941957950592
21800,0.008441821672022343,0.01190008781850338,0.08806606382131577,0.9989427924156189
